Ano,Vendedor,Cargo,Região,Venda
2015,Ana Gil,Gerente,Espanha,"R$ 8.325,00"
2015,Ananda Hermes,Temporário,Alemanha,"R$ 33.195,00"
2015,Anderson Amarante,Vendedor,Estados Unidos,"R$ 12.649,00"
2015,Andre Kendra,Surpevisor,França,"R$ 32.323,00"
2015,André Vejarano,Temporário,Indonésia,"R$ 32.782,00"
2015,Andréia Cavalca,Surpevisor,Rússia,"R$ 1.888,00"
2015,Andreia Henriques,Gerente,Turquia,"R$ 13.029,00"
2015,Andressa Rente,Gerente,Alemanha,"R$ 43.597,00"
2015,Andrew Takioche,Surpevisor,França,"R$ 22.268,00"
2015,Andreza Arouca,Gerente,Canadá,"R$ 29.727,00"
2015,Ângelo Vilardo,Temporário,Brasil,"R$ 47.624,00"
2015,Angelo Zanoni,Vendedor,Alemanha,"R$ 23.042,00"
2015,Anízio Brasileiro,Surpevisor,Índia,"R$ 33.828,00"
2015,Anna Tarragó,Gerente,Canadá,"R$ 40.631,00"
2015,Antonia Gouvêa,Surpevisor,Itália,"R$ 9.976,00"
2015,Antônio Cuciniello,Surpevisor,Itália,"R$ 37.335,00"
2015,Antonio Portes,Surpevisor,Espanha,"R$ 28.845,00"
2015,Aparecida Soriano,Gerente,Rússia,"R$ 40.041,00"
2015,Ariel Campelo,Vendedor,Espanha,"R$ 46.290,00"
2015,Arnaldo Bueno,Surpevisor,Austrália,"R$ 48.959,00"
2015,Arnôr Araripe,Gerente,Itália,"R$ 6.162,00"
2015,Arthur Ottaiano,Vendedor,França,"R$ 24.239,00"
2015,Artur Borowicz,Vendedor,Alemanha,"R$ 34.822,00"
2015,Ary Peters,Temporário,Japão,"R$ 5.825,00"
2015,Athos Gonzalez,Gerente,Espanha,"R$ 10.584,00"
2015,Átila Garcez,Gerente,Países Baixos,"R$ 33.063,00"
2015,Audir Avila,Temporário,Itália,"R$ 3.453,00"
2015,Bárbara Bottin,Temporário,Turquia,"R$ 47.818,00"
2015,Barbara Laís,Temporário,Espanha,"R$ 5.089,00"
2015,Beatris Ávila,Surpevisor,França,"R$ 2.936,00"
2015,Beatriz Casassanta,Temporário,Espanha,"R$ 14.013,00"
2015,Bernard Galdino,Vendedor,Turquia,"R$ 27.891,00"
2015,Bernardo Vaccariello,Temporário,França,"R$ 7.348,00"
2015,Betania Vinicius,Temporário,Coreia do Sul,"R$ 13.386,00"
2015,Bianca Revelles,Surpevisor,Indonésia,"R$ 12.233,00"
2015,Bibiana Mosqueira,Vendedor,Itália,"R$ 15.787,00"
2015,Brenda Martinusso,Gerente,França,"R$ 3.716,00"
2015,Brenno Liporace,Gerente,Turquia,"R$ 49.004,00"
2015,Breno Matheus,Vendedor,Austrália,"R$ 17.534,00"
2015,Bruna Lamosa,Temporário,Turquia,"R$ 9.153,00"
2015,Bruno Alberto,Surpevisor,Coreia do Sul,"R$ 36.051,00"
2015,Caio Belchot,Gerente,Itália,"R$ 45.505,00"
2015,Camila Corpas,Gerente,Itália,"R$ 44.620,00"
2015,Camilla Akio,Gerente,Arábia Saudita,"R$ 28.439,00"
2015,Camille Santana,Temporário,Turquia,"R$ 7.746,00"
2015,Carina Ferrer,Temporário,Espanha,"R$ 38.888,00"
2015,Carla Vítor,Vendedor,Estados Unidos,"R$ 18.570,00"
2015,Carlos Thaíssa,Surpevisor,França,"R$ 40.314,00"
2015,Carolina Lindmeyer,Temporário,Índia,"R$ 29.878,00"
2015,Caroline Tartaroni,Temporário,Coreia do Sul,"R$ 26.166,00"
2015,Carolini Arêas,Temporário,México,"R$ 48.107,00"
2015,Caroll Vita,Temporário,Canadá,"R$ 43.744,00"
2015,Cassandra Kirk,Gerente,Itália,"R$ 12.247,00"
2015,Cassia Neves,Surpevisor,Espanha,"R$ 46.947,00"
2015,Cassio Allevato,Gerente,Reino Unido,"R$ 7.417,00"
2015,Catarina Wajnberg,Gerente,Japão,"R$ 48.231,00"
2015,Cecília Corrêa,Vendedor,Reino Unido,"R$ 18.742,00"
2015,Célio Nobili,Surpevisor,Alemanha,"R$ 19.092,00"
2015,César Alvim,Surpevisor,França,"R$ 6.961,00"
2015,Cesar Miehrig,Gerente,Canadá,"R$ 7.364,00"
2015,Cézar Müller,Surpevisor,Alemanha,"R$ 44.130,00"
2015,Chan Gabriela,Temporário,China,"R$ 20.717,00"
2015,Chrislaine Arineli,Gerente,Itália,"R$ 42.395,00"
2015,Christian Mariano,Vendedor,Indonésia,"R$ 40.395,00"
2015,Christiana Madrid,Vendedor,China,"R$ 9.933,00"
2015,Christiane Voltes,Surpevisor,Austrália,"R$ 41.453,00"
2015,Christine Malvar,Temporário,Canadá,"R$ 29.957,00"
2015,Cícero Marcelino,Surpevisor,Estados Unidos,"R$ 37.897,00"
2015,Cinthia Ribas,Temporário,Coreia do Sul,"R$ 36.612,00"
2015,Ciro Helena,Vendedor,Coreia do Sul,"R$ 29.652,00"
2015,Clara Losso,Temporário,Arábia Saudita,"R$ 15.744,00"
2015,Clarissa Cotta,Vendedor,Países Baixos,"R$ 19.880,00"
2015,Cláudia Fontana,Surpevisor,Espanha,"R$ 29.103,00"
2015,Cláudio Regina,Surpevisor,Rússia,"R$ 34.755,00"
2015,Cleberson Ronfini,Temporário,Alemanha,"R$ 40.290,00"
2015,Cleo Gabrielen,Gerente,China,"R$ 26.549,00"
2015,Constantino Fragoso,Temporário,França,"R$ 35.000,00"
2015,Cristiane Raposo,Temporário,Japão,"R$ 11.651,00"
2015,Cristina Batista,Surpevisor,Austrália,"R$ 2.775,00"
2015,Cynthia El-Jaick,Surpevisor,México,"R$ 8.940,00"
2015,Daiana Menezes,Surpevisor,Brasil,"R$ 47.268,00"
2015,Dalvan Carneiro,Surpevisor,Índia,"R$ 31.786,00"
2015,Dandara Tanita,Temporário,Japão,"R$ 12.908,00"
2015,Daniel Lanssoni,Gerente,Canadá,"R$ 30.585,00"
2015,Daniela Cucco,Surpevisor,Reino Unido,"R$ 33.496,00"
2015,Daniele Arias,Surpevisor,Japão,"R$ 21.198,00"
2015,Daniella Peralva,Temporário,Brasil,"R$ 5.151,00"
2015,Danielle Eliza,Gerente,México,"R$ 41.344,00"
2015,Danilo Cinelli,Vendedor,Itália,"R$ 11.496,00"
2015,Davi Quemento,Gerente,México,"R$ 4.541,00"
2015,David Britz,Surpevisor,China,"R$ 19.155,00"
2015,Dayane Elzi,Vendedor,Reino Unido,"R$ 23.533,00"
2015,Dayna Dória,Gerente,Espanha,"R$ 15.927,00"
2015,Débora Haimenis,Surpevisor,Espanha,"R$ 3.243,00"
2015,Debora Madureira,Surpevisor,China,"R$ 42.025,00"
2015,Denilton Brasil,Vendedor,Indonésia,"R$ 18.653,00"
2015,Desirée Acquarone,Temporário,Coreia do Sul,"R$ 13.566,00"
2015,Deysiane Bezerra,Temporário,Países Baixos,"R$ 29.356,00"
2015,Diana Rebelo,Temporário,Coreia do Sul,"R$ 13.356,00"
2015,Diego Mazzi,Surpevisor,Alemanha,"R$ 4.840,00"
2015,Dilson Macedo,Vendedor,Canadá,"R$ 27.238,00"
2015,Diogo Grin,Temporário,Rússia,"R$ 10.412,00"
2015,Domenik Aline,Surpevisor,México,"R$ 12.515,00"
2015,Douglas Rebouças,Surpevisor,México,"R$ 45.954,00"
2015,Drielly Cassabian,Temporário,França,"R$ 20.979,00"
2015,Dykson Caffaro,Gerente,Canadá,"R$ 29.945,00"
2015,Ébio Leandro,Temporário,China,"R$ 48.791,00"
2015,Edgard Luis,Gerente,Reino Unido,"R$ 9.144,00"
2015,Edjailma Tsuyoshi,Temporário,Turquia,"R$ 5.549,00"
2015,Edson Vilhena,Temporário,México,"R$ 18.375,00"
2015,Eduarda Ferrato,Surpevisor,Arábia Saudita,"R$ 3.827,00"
2015,Eduardo Iago,Vendedor,França,"R$ 11.968,00"
2015,Elaine Rochlin,Gerente,Brasil,"R$ 40.285,00"
2015,Elana Vilas,Surpevisor,França,"R$ 26.278,00"
2015,Elena Consorte,Surpevisor,Países Baixos,"R$ 23.497,00"
2015,Eliane Beznos,Temporário,Países Baixos,"R$ 13.688,00"
2015,Elida Huon,Vendedor,Arábia Saudita,"R$ 29.773,00"
2015,Elio Silveira,Temporário,Japão,"R$ 29.853,00"
2015,Elisa Rita,Vendedor,Rússia,"R$ 7.334,00"
2015,Elizeu Junqueira,Gerente,Turquia,"R$ 13.936,00"
2015,Elvis Magno,Gerente,Estados Unidos,"R$ 40.371,00"
2015,Emanuella Marinho,Temporário,Japão,"R$ 26.207,00"
2015,Emilaine Alencar,Vendedor,Canadá,"R$ 28.384,00"
2015,Emmanuel Marcolini,Temporário,Itália,"R$ 49.632,00"
2015,Enrico Liz,Surpevisor,França,"R$ 17.678,00"
2015,Enrique José,Surpevisor,Turquia,"R$ 31.939,00"
2015,Eric Pastore,Gerente,Japão,"R$ 39.378,00"
2015,Érica César,Vendedor,Países Baixos,"R$ 27.171,00"
2015,Erick Bozi,Gerente,Indonésia,"R$ 17.230,00"
2015,Ericka Villar,Surpevisor,China,"R$ 31.521,00"
2015,Érico Goes,Vendedor,Itália,"R$ 44.593,00"
2015,Erik Menaged,Temporário,China,"R$ 21.616,00"
2015,Eriko Arslanian,Gerente,Brasil,"R$ 3.173,00"
2015,Ester Bachini,Temporário,Rússia,"R$ 47.473,00"
2015,Etiene Centurione,Temporário,Turquia,"R$ 23.945,00"
2015,Eugênio Berni,Vendedor,Estados Unidos,"R$ 7.858,00"
2015,Evelyn Rosario,Temporário,França,"R$ 2.780,00"
2015,Fabiane Melloni,Gerente,México,"R$ 45.771,00"
2015,Fabiano Talbot,Gerente,Itália,"R$ 15.981,00"
2015,Fábio Santo,Vendedor,Indonésia,"R$ 31.014,00"
2015,Fabio Tozatto,Gerente,Canadá,"R$ 35.303,00"
2015,Fabricio Paula,Gerente,Espanha,"R$ 15.276,00"
2015,Fátima Wolguemuth,Surpevisor,Países Baixos,"R$ 10.793,00"
2015,Felipe Grunhauser,Temporário,Alemanha,"R$ 4.351,00"
2015,Fellipe Troccoli,Gerente,Indonésia,"R$ 30.597,00"
2015,Fernanda Ornelas,Vendedor,França,"R$ 12.657,00"
2015,Fernando Felix,Surpevisor,Austrália,"R$ 1.884,00"
2015,Filipe Marsicano,Temporário,Brasil,"R$ 32.973,00"
2015,Filippo Vanzo,Vendedor,Arábia Saudita,"R$ 25.680,00"
2015,Fillipe Cruz,Vendedor,Itália,"R$ 32.479,00"
2015,Flávia Zaban,Temporário,Indonésia,"R$ 49.867,00"
2015,Flávio Curi,Gerente,Indonésia,"R$ 26.304,00"
2015,Flavio Firmo,Surpevisor,Espanha,"R$ 35.490,00"
2015,Francisco Muniz,Temporário,Canadá,"R$ 8.224,00"
2015,Francyne Akiama,Surpevisor,Coreia do Sul,"R$ 4.100,00"
2015,Frederico Scofield,Gerente,Japão,"R$ 12.147,00"
2015,Gabriel Gervazoni,Gerente,Canadá,"R$ 2.034,00"
2015,Gabriela André,Surpevisor,Turquia,"R$ 1.919,00"
2015,Gabriella Mesitieri,Surpevisor,Alemanha,"R$ 20.957,00"
2015,Gabrielle Basso,Vendedor,Turquia,"R$ 7.751,00"
2015,Gabryela Netto,Gerente,Espanha,"R$ 47.763,00"
2015,Geam Veiga,Surpevisor,Países Baixos,"R$ 29.250,00"
2015,Geani Rubinstein,Vendedor,Arábia Saudita,"R$ 3.313,00"
2015,Gerald Bitencourt,Vendedor,Japão,"R$ 4.428,00"
2015,Gianluca Camilla,Temporário,Japão,"R$ 49.532,00"
2015,Gil Benfeitas,Gerente,Rússia,"R$ 3.870,00"
2015,Giovana Letieri,Vendedor,Indonésia,"R$ 48.983,00"
2015,Giovani Raggi,Vendedor,Indonésia,"R$ 43.538,00"
2015,Giovanna Cardozo,Vendedor,Brasil,"R$ 38.698,00"
2015,Giovanni Moutinho,Vendedor,Rússia,"R$ 20.435,00"
2015,Giselia Martelo,Vendedor,Indonésia,"R$ 6.972,00"
2015,Gisely Paragó,Surpevisor,Brasil,"R$ 9.284,00"
2015,Giulia Gualberto,Temporário,Indonésia,"R$ 46.861,00"
2015,Giuseppe Luara,Surpevisor,Turquia,"R$ 6.037,00"
2015,Gizele Reyna,Surpevisor,Arábia Saudita,"R$ 23.803,00"
2015,Gizella Simões,Vendedor,Alemanha,"R$ 32.449,00"
2015,Glaucia Pelegrino,Temporário,Arábia Saudita,"R$ 22.614,00"
2015,Gleisy Mizrahy,Surpevisor,Espanha,"R$ 27.205,00"
2015,Glenda Touriño,Temporário,Alemanha,"R$ 4.984,00"
2015,Gleydson Cravo,Temporário,Arábia Saudita,"R$ 41.451,00"
2015,Graziela Pinho,Vendedor,Turquia,"R$ 43.009,00"
2015,Guido Bailly,Gerente,Índia,"R$ 46.257,00"
2015,Guilherme Kale,Temporário,Arábia Saudita,"R$ 27.850,00"
2015,Gustavo Salerno,Vendedor,Arábia Saudita,"R$ 35.203,00"
2015,Hanielle Otavio,Gerente,Canadá,"R$ 20.186,00"
2015,Hanna Marcello,Surpevisor,Coreia do Sul,"R$ 37.416,00"
2015,Hannah Rachel,Gerente,Reino Unido,"R$ 14.661,00"
2015,Haroldo Abreu,Vendedor,México,"R$ 8.245,00"
2015,Heitor Albuquerque,Surpevisor,Reino Unido,"R$ 27.636,00"
2015,Helen Bello,Temporário,China,"R$ 2.363,00"
2015,Helena Penteado,Surpevisor,China,"R$ 16.319,00"
2015,Helga Uramm,Vendedor,Arábia Saudita,"R$ 16.537,00"
2015,Helton Schincariol,Vendedor,Arábia Saudita,"R$ 30.093,00"
2015,Helvio Fróes,Surpevisor,Arábia Saudita,"R$ 38.820,00"
2015,Henrique Rohr,Temporário,Estados Unidos,"R$ 8.275,00"
2015,Hércules Bacelar,Vendedor,Austrália,"R$ 26.454,00"
2015,Hiago Lutterbach,Surpevisor,Coreia do Sul,"R$ 49.966,00"
2015,Hiaiune Pozzan,Vendedor,França,"R$ 7.874,00"
2015,Higor Bárbara,Surpevisor,Rússia,"R$ 44.751,00"
2015,Hugo Wien,Temporário,Canadá,"R$ 34.576,00"
2015,Hyago Fecha,Surpevisor,Canadá,"R$ 18.376,00"
2015,Hygor Litza,Vendedor,China,"R$ 41.766,00"
2015,Iago Lauzana,Surpevisor,Canadá,"R$ 46.501,00"
2015,Ian Carajuru,Surpevisor,Itália,"R$ 37.413,00"
2015,Iasmim Adriano,Vendedor,China,"R$ 13.189,00"
2015,Ighor Jung,Gerente,Austrália,"R$ 16.783,00"
2015,Igor Augusta,Gerente,México,"R$ 31.931,00"
2015,Ingra Goulart,Surpevisor,Japão,"R$ 40.799,00"
2015,Iris Lacê,Gerente,Japão,"R$ 22.444,00"
2015,Isaac Jean,Gerente,Alemanha,"R$ 3.982,00"
2015,Isabel Altino,Temporário,Indonésia,"R$ 44.403,00"
2015,Isabela Mothé,Temporário,Brasil,"R$ 12.891,00"
2015,Isabella Rodine,Surpevisor,Arábia Saudita,"R$ 45.294,00"
2015,Isabelle Moésia,Gerente,Índia,"R$ 4.490,00"
2015,Isabelly Pimenta,Vendedor,Coreia do Sul,"R$ 45.684,00"
2015,Isadora Aiex,Temporário,México,"R$ 37.103,00"
2015,Isis Gaglianone,Gerente,Alemanha,"R$ 27.024,00"
2015,Itai Constant,Surpevisor,Países Baixos,"R$ 42.702,00"
2015,Iuri Azevedo,Temporário,Austrália,"R$ 5.065,00"
2015,Ivan Villamil,Temporário,Estados Unidos,"R$ 39.230,00"
2015,Ivana Chvaicer,Vendedor,Reino Unido,"R$ 21.717,00"
2015,Ives Cezar,Surpevisor,Alemanha,"R$ 26.055,00"
2015,Izabel Brust,Temporário,Estados Unidos,"R$ 15.761,00"
2015,Izabella Badia,Vendedor,China,"R$ 23.106,00"
2015,Izabelle Lacombe,Vendedor,Índia,"R$ 3.856,00"
2015,Izadora Sara,Temporário,Reino Unido,"R$ 18.948,00"
2015,Jackson Ramalho,Gerente,Espanha,"R$ 25.639,00"
2015,Jade Sodre,Gerente,Austrália,"R$ 19.618,00"
2015,Jamile Nacif,Vendedor,China,"R$ 47.914,00"
2015,Jaqueline Passarelli,Temporário,Estados Unidos,"R$ 9.118,00"
2015,Jayme Bartolote,Surpevisor,Austrália,"R$ 17.894,00"
2015,Jean Whitaker,Vendedor,Canadá,"R$ 35.753,00"
2015,Jeane Milane,Gerente,Austrália,"R$ 25.677,00"
2015,Jeferson Benetoli,Surpevisor,Rússia,"R$ 30.481,00"
2015,Jefferson Pimentel,Vendedor,México,"R$ 47.747,00"
2015,Jennifer Rabello,Surpevisor,Espanha,"R$ 2.213,00"
2015,Jeronimo Camara,Temporário,China,"R$ 3.964,00"
2015,Jéssica Benício,Vendedor,Países Baixos,"R$ 9.011,00"
2015,Jessica Cecilia,Gerente,Países Baixos,"R$ 12.785,00"
2015,Jessika Aziz,Surpevisor,Coreia do Sul,"R$ 15.634,00"
2015,Jeter Vicente,Gerente,Austrália,"R$ 21.273,00"
2015,Joana Salek,Temporário,Itália,"R$ 48.302,00"
2015,Joāo Antunes,Gerente,Estados Unidos,"R$ 19.270,00"
2015,João Calmon,Vendedor,Turquia,"R$ 33.267,00"
2015,Joao Tako,Vendedor,Arábia Saudita,"R$ 47.132,00"
2015,Joel Bispo,Temporário,China,"R$ 17.915,00"
2015,John Victorio,Surpevisor,Itália,"R$ 22.534,00"
2015,Jonas Balbino,Vendedor,Indonésia,"R$ 24.693,00"
2015,Jonatas Caetano,Surpevisor,Índia,"R$ 35.143,00"
2015,Jônatas Helt,Temporário,Rússia,"R$ 47.231,00"
2015,Jonathas Nascimento,Gerente,Arábia Saudita,"R$ 29.269,00"
2015,Jonnathan Maués,Temporário,Reino Unido,"R$ 45.863,00"
2015,Jorge Lavinas,Surpevisor,Brasil,"R$ 23.643,00"
2015,Jose Alvarenga,Temporário,Arábia Saudita,"R$ 46.560,00"
2015,José Zenobio,Vendedor,Países Baixos,"R$ 4.917,00"
2015,Josefe Fasano,Temporário,México,"R$ 24.202,00"
2015,Joyce Barcellos,Vendedor,México,"R$ 48.907,00"
2015,Juan Loureiro,Temporário,Índia,"R$ 38.255,00"
2015,Juann Ziegler,Surpevisor,Arábia Saudita,"R$ 43.912,00"
2015,Julia Cappelli,Temporário,Países Baixos,"R$ 10.471,00"
2015,Júlia Quercetti,Gerente,Brasil,"R$ 29.168,00"
2015,Juliana Chamoun,Gerente,Japão,"R$ 34.948,00"
2015,Juliane Morais,Temporário,Índia,"R$ 47.035,00"
2015,Julianna Mancebo,Temporário,Arábia Saudita,"R$ 7.290,00"
2015,Julie Paixão,Surpevisor,França,"R$ 5.936,00"
2015,Júlio Moura,Gerente,Alemanha,"R$ 27.739,00"
2015,Julio Santiago,Vendedor,Arábia Saudita,"R$ 47.427,00"
2015,Julliana Turnes,Gerente,Turquia,"R$ 32.710,00"
2015,Julyana Totti,Surpevisor,Arábia Saudita,"R$ 18.200,00"
2015,Julyanna Yasmin,Vendedor,Brasil,"R$ 15.452,00"
2015,Kaio Bassani,Gerente,Brasil,"R$ 26.991,00"
2015,Kallena Chousa,Vendedor,Rússia,"R$ 17.593,00"
2015,Karen Zobaran,Gerente,Brasil,"R$ 37.030,00"
2015,Karina Motta,Gerente,Canadá,"R$ 33.237,00"
2015,Karine Pettene,Temporário,Canadá,"R$ 24.587,00"
2015,Karline Gustavo,Surpevisor,Reino Unido,"R$ 27.725,00"
2015,Karoline Luís,Surpevisor,Indonésia,"R$ 18.978,00"
2015,Karoliny Gaspar,Vendedor,Estados Unidos,"R$ 22.177,00"
2015,Karollayne Mercês,Vendedor,França,"R$ 42.275,00"
2015,Kassia Burd,Gerente,México,"R$ 32.916,00"
2015,Katarine Graça,Gerente,Brasil,"R$ 4.076,00"
2015,Katharina Varela,Gerente,China,"R$ 15.827,00"
2015,Katherine Bernhardt,Vendedor,Japão,"R$ 8.088,00"
2015,Kelly Rosales,Vendedor,Reino Unido,"R$ 22.137,00"
2015,Khaio Meslin,Gerente,Austrália,"R$ 1.208,00"
2015,Kim Rigueira,Vendedor,Estados Unidos,"R$ 7.194,00"
2015,Kimberly Luna,Surpevisor,França,"R$ 46.511,00"
2015,Krissia Lavagnole,Vendedor,México,"R$ 7.984,00"
2015,Lais Leta,Temporário,Rússia,"R$ 12.204,00"
2015,Laís Villela,Surpevisor,Turquia,"R$ 28.219,00"
2015,Laiza Pedrazza,Gerente,Turquia,"R$ 27.217,00"
2015,Lara Silveirinha,Vendedor,México,"R$ 28.629,00"
2015,Larissa Buhler,Surpevisor,México,"R$ 2.377,00"
2015,Laura Biccas,Temporário,França,"R$ 4.309,00"
2015,Layssa Glioche,Gerente,Países Baixos,"R$ 20.272,00"
2015,Lázaro Guilhon,Vendedor,Índia,"R$ 28.289,00"
2015,Leandro Guillermo,Surpevisor,Arábia Saudita,"R$ 20.801,00"
2015,Leila Doria,Surpevisor,Canadá,"R$ 14.574,00"
2015,Lenon Harumi,Temporário,México,"R$ 44.933,00"
2015,León Allister,Temporário,Itália,"R$ 21.766,00"
2015,Leon E,Vendedor,Rússia,"R$ 31.345,00"
2015,Leonardo Clímaco,Temporário,Turquia,"R$ 32.962,00"
2015,Letícia Lovato,Surpevisor,Canadá,"R$ 19.419,00"
2015,Leticia Negreiros,Gerente,Reino Unido,"R$ 19.532,00"
2015,Lidiane Veríssimo,Vendedor,Brasil,"R$ 39.346,00"
2015,Lígia Bloise,Vendedor,Alemanha,"R$ 41.411,00"
2015,Livia Riff,Gerente,Estados Unidos,"R$ 48.777,00"
2015,Lívia Ronck,Temporário,Itália,"R$ 46.911,00"
2015,Liz Mainente,Gerente,Coreia do Sul,"R$ 16.055,00"
2015,Lohany Balassiano,Temporário,China,"R$ 37.724,00"
2015,Lorena Pozzetti,Gerente,Canadá,"R$ 8.937,00"
2015,Loreni Silotti,Gerente,Austrália,"R$ 48.124,00"
2015,Lorenzo Scalercio,Vendedor,México,"R$ 15.672,00"
2015,Luã Feitosa,Surpevisor,Rússia,"R$ 42.456,00"
2015,Luan Barrionuevo,Surpevisor,Austrália,"R$ 21.560,00"
2015,Luana Patricia,Gerente,Turquia,"R$ 10.115,00"
2015,Luca Vittoria,Temporário,Índia,"R$ 15.942,00"
2015,Lucas Uenington,Surpevisor,Países Baixos,"R$ 8.454,00"
2015,Lucca Rottas,Temporário,Índia,"R$ 11.629,00"
2015,Luciana Primo,Surpevisor,Canadá,"R$ 7.075,00"
2015,Ludmila Venâncio,Vendedor,Rússia,"R$ 28.806,00"
2015,Luis Cajado,Vendedor,Rússia,"R$ 21.941,00"
2015,Luís Quelha,Gerente,Indonésia,"R$ 27.438,00"
2015,Luísa Leal,Gerente,México,"R$ 31.123,00"
2015,Luisa Nager,Surpevisor,Estados Unidos,"R$ 9.847,00"
2015,Luiz Graham,Gerente,Indonésia,"R$ 16.803,00"
2015,Luiza Angelo,Gerente,Itália,"R$ 48.810,00"
2015,Luíza Padilha,Gerente,Brasil,"R$ 49.707,00"
2015,Luize Greenman,Gerente,Países Baixos,"R$ 38.571,00"
2015,Lunna Roças,Vendedor,Arábia Saudita,"R$ 44.681,00"
2015,Lyandra Anunciação,Surpevisor,Canadá,"R$ 32.940,00"
2015,Maciela Felipi,Surpevisor,Países Baixos,"R$ 23.676,00"
2015,Maike Vinícius,Temporário,Alemanha,"R$ 26.927,00"
2015,Maíra Botelho,Vendedor,Japão,"R$ 13.371,00"
2015,Manuela Soraia,Vendedor,Indonésia,"R$ 46.228,00"
2015,Marcela Asenjo,Temporário,Brasil,"R$ 14.450,00"
2015,Marcele Gabrielle,Surpevisor,Itália,"R$ 48.422,00"
2015,Marcella Villa,Temporário,Reino Unido,"R$ 16.988,00"
2015,Marcelle Accardo,Gerente,Estados Unidos,"R$ 36.180,00"
2015,Marcello Mathias,Gerente,China,"R$ 29.736,00"
2015,Marcelly Weyll,Vendedor,Espanha,"R$ 29.318,00"
2015,Marcelo Letícia,Surpevisor,Rússia,"R$ 43.548,00"
2015,Marcia Pessanha,Gerente,França,"R$ 16.738,00"
2015,Marcio Miguel,Vendedor,China,"R$ 28.210,00"
2015,Marco Barra,Gerente,Rússia,"R$ 43.544,00"
2015,Marcos Faustino,Vendedor,Austrália,"R$ 23.117,00"
2015,Marcus Pires,Temporário,Indonésia,"R$ 48.619,00"
2015,Maria Resnik,Temporário,Espanha,"R$ 24.784,00"
2015,Mariana Vazquez,Temporário,Rússia,"R$ 24.602,00"
2015,Mariane Barbutti,Temporário,Espanha,"R$ 24.409,00"
2015,Marianna Prado,Temporário,Itália,"R$ 47.350,00"
2015,Marianne Vannier,Surpevisor,Japão,"R$ 37.969,00"
2015,Marília Sarria,Surpevisor,Japão,"R$ 40.339,00"
2015,Marina Bokehi,Vendedor,Arábia Saudita,"R$ 30.050,00"
2015,Marisol Miura,Gerente,México,"R$ 26.703,00"
2015,Marjorie Vargas,Surpevisor,Itália,"R$ 5.817,00"
2015,Marta Placido,Temporário,China,"R$ 14.268,00"
2015,Maryanna Monnerat,Temporário,Reino Unido,"R$ 49.149,00"
2015,Mateus Corte,Gerente,Indonésia,"R$ 4.929,00"
2015,Matheus Marcelo,Gerente,Estados Unidos,"R$ 28.286,00"
2015,Maurício Kranz,Temporário,México,"R$ 43.764,00"
2015,Mauricio Ladogano,Temporário,Itália,"R$ 45.982,00"
2015,Mauro Avvad,Vendedor,França,"R$ 7.402,00"
2015,Mayara Katz,Surpevisor,Indonésia,"R$ 48.634,00"
2015,Mayná Gabriella,Vendedor,Austrália,"R$ 25.420,00"
2015,Melissa Theus,Vendedor,China,"R$ 9.408,00"
2015,Micaele Salomão,Surpevisor,Espanha,"R$ 25.275,00"
